Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Final Date,,
_01_,MA,WALTON & LONSBURY INC.,,_0100432_,MAD001197755,78 NORTH AVENUE ,ATTLEBORO,02703,BRISTOL,,,N,_+41.957501_,_-071.296946_ ,05/24/13,,
_01_,MA,WELLS G&H,,_0100749_,MAD980732168,ABERJONA RIVER VALLEY ,WOBURN,01801,MIDDLESEX,,,N,_+42.494710_,_-071.130830_ ,09/08/83,,
_01_,ME,BRUNSWICK NAVAL AIR STATION,,_0101073_,ME8170022018,RTE 24 AND 123 ,BRUNSWICK,04011,CUMBERLAND,,,Y,_+43.906340_,_-069.933980_ ,07/22/87,,
_01_,ME,CALLAHAN MINING CORP,,_0101028_,MED980524128,HARBORSIDE ,BROOKSVILLE (CAPE ROSIER),04617,HANCOCK,,,N,_+44.351630_,_-068.810130_ ,09/05/02,,
_01_,ME,EASTERN SURPLUS,,_0101054_,MED981073711,ROUTE 191 ,MEDDYBEMPS,04657,WASHINGTON,,,N,_+45.038880_,_-067.358330_ ,06/17/96,,
_01_,ME,EASTLAND WOOLEN MILL,,_0101043_,MED980915474,MAIN STREET ,CORINNA,04928,PENOBSCOT,,,N,_+44.921660_,_-069.261110_ ,07/22/99,,
_01_,ME,KEDDY MILL,,_0106078_,MEN000106078,7 DEPOT STREET ,WINDHAM,04062,CUMBERLAND,,,N,_+43.734950_,_-70.424510_ ,05/12/14,,
_01_,ME,LEEDS METAL,,_0103584_,MEN000103584,OFF OF BLUE ROCK ROAD ,LEEDS,04263,ANDROSCOGGIN,,,N,_+44.237223_,_-070.081391_ ,09/18/12,,
_01_,ME,LORING AIR FORCE BASE,,_0101074_,ME9570024522,42 CSG/CC ,LIMESTONE,04751,AROOSTOOK,,,Y,_+46.944440_,_-067.883880_ ,02/21/90,,
_01_,ME,MCKIN CO.,,_0101027_,MED980524078,MAYALL RD ,GRAY,04039,CUMBERLAND,,,N,_+43.884100_,_-070.294200_ ,09/08/83,,
_01_,ME,PORTSMOUTH NAVAL SHIPYARD,,_0101072_,ME7170022019,SEAVEY ISLAND ,KITTERY,03904,YORK,,,Y,_+43.084160_,_-070.741660_ ,05/31/94,,
_01_,ME,SACO MUNICIPAL LANDFILL,,_0101010_,MED980504393,FOSS RD ,SACO,04072,YORK,,,N,_+43.530200_,_-070.481500_ ,02/21/90,,
_01_,ME,"UNION CHEMICAL CO., INC.",,_0100989_,MED042143883,RTE 17 ,SOUTH HOPE,04862,KNOX,,,N,_+44.214440_,_-069.189020_ ,10/04/89,,
_01_,ME,WEST SITE/HOWS CORNERS,,_0101800_,MED985466168,CAMBELL/SAWYER ROAD ,PLYMOUTH,04969,PENOBSCOT,,,N,_+44.740270_,_-069.182220_ ,09/29/95,,
_01_,ME,WINTHROP LANDFILL,,_0101012_,MED980504435,ANNABESSACOOK RD ,WINTHROP,04364,KENNEBEC,,,N,_+44.275830_,_-069.988330_ ,09/08/83,,
_01_,NH,AUBURN ROAD LANDFILL,,_0101137_,NHD980524086,AUBURN RD ,LONDONDERRY,03053,ROCKINGHAM,,,N,_+42.930200_,_-071.352900_ ,09/08/83,,
_01_,NH,BEEDE WASTE OIL,,_0102723_,NHD018958140,7 THROUGH 11 KELLEY ROAD ,PLAISTOW,03865,ROCKINGHAM,,,N,_+42.855070_,_-071.105880_ ,12/23/96,,
_01_,NH,CHLOR-ALKALI FACILITY (FORMER),,_0103313_,NHN000103313,ADJACENT TO SAW MILL DAM ,BERLIN,03570,COOS,,,N,_+44.479190_,_-071.167190_ ,09/14/05,,
_01_,NH,COAKLEY LANDFILL,,_0101107_,NHD064424153,480 BREAKFAST HILL RD ,NORTH HAMPTON,03840,ROCKINGHAM,,,N,_+43.001110_,_-070.817210_ ,06/10/86,,
_01_,NH,COLLINS & AIKMAN PLANT (FORMER),,_0105928_,NHN000105928,Off Route 11 between Paulson Road to the NW  and Meetinghouse Hill Road to the SE,FARMINGTON,03835,STRAFFORD,,,N,_+43.371945_,_-071.058613_ ,12/12/13,,
_01_,NH,DOVER MUNICIPAL LANDFILL,,_0101125_,NHD980520191,TOLEND RD ,DOVER,03820,STRAFFORD,,,N,_+43.212500_,_-070.953000_ ,09/08/83,,
_01_,NH,FLETCHER'S PAINT WORKS & STORAGE,,_0101085_,NHD001079649,21 ELM ST. ,MILFORD,03055,HILLSBOROUGH,,,N,_+42.835800_,_-071.655400_ ,03/31/89,,
_01_,NH,KEARSARGE METALLURGICAL CORP.,,_0101105_,NHD062002001,MILL ST-RTE 113 ,CONWAY,03818,CARROLL,,,N,_+43.972100_,_-071.129300_ ,09/21/84,,
_01_,NH,KEEFE ENVIRONMENTAL SERVICES (KES),,_0101114_,NHD092059112,EXETER RD ,EPPING,03042,ROCKINGHAM,,,N,_+43.024160_,_-071.033330_ ,09/08/83,,
_01_,NH,MOTTOLO PIG FARM,,_0101123_,NHD980503361,BLUEBERRY HILL RD ,RAYMOND,03077,ROCKINGHAM,,,N,_+42.989580_,_-071.173180_ ,07/22/87,,
_01_,NH,NEW HAMPSHIRE PLATING CO.,,_0101092_,NHD001091453,WRIGHT AVE. ,MERRIMACK,03054,HILLSBOROUGH,,,N,_+42.855830_,_-071.488880_ ,10/14/92,,
_01_,NH,OTTATI & GOSS/KINGSTON STEEL DRUM,,_0101210_,NHD990717647,HAVERHILL RD RTE 125 ,KINGSTON,03848,ROCKINGHAM,,,N,_+42.897210_,_-071.080560_ ,09/08/83,,
_01_,NH,PEASE AIR FORCE BASE,,_0101213_,NH7570024847,509 CSG/CC ,PORTSMOUTH/NEWINGTON,03803,ROCKINGHAM,,,Y,_+43.080160_,_-070.821250_ ,02/21/90,,
_01_,NH,SAVAGE MUNICIPAL WATER SUPPLY,,_0101145_,NHD980671002,NEAR RT 101 ,MILFORD,03055,HILLSBOROUGH,,,N,_+42.841800_,_-071.688400_ ,09/21/84,,
_01_,NH,SOMERSWORTH SANITARY LANDFILL,,_0101128_,NHD980520225,BLACKWATER RD ,SOMERSWORTH,03878,STRAFFORD,,,N,_+43.248900_,_-070.884500_ ,09/08/83,,
_01_,NH,SOUTH MUNICIPAL WATER SUPPLY WELL,,_0101146_,NHD980671069,RT. 202 ,PETERBOROUGH,03458,HILLSBOROUGH,,,N,_+42.8502_,_-071.9654_ ,09/21/84,,
_01_,NH,SYLVESTER,,_0101115_,NHD099363541,GILSON RD ,NASHUA,03062,HILLSBOROUGH,,,N,_+42.719700_,_-071.523110_ ,09/08/83,,
_01_,NH,TIBBETTS ROAD,,_0101208_,NHD989090469,TIBBETTS RD. ,BARRINGTON,03825,STRAFFORD,,,N,_+43.180000_,_-071.034700_ ,06/10/86,,
_01_,NH,TINKHAM GARAGE,,_0101106_,NHD062004569,RTE 102 ,LONDONDERRY,03053,ROCKINGHAM,,,N,_+42.860830_,_-071.351110_ ,09/08/83,,
